urn,label,description,data,link
urn:cite2:hmt:place.v1:place190,Doulichion,"Dulichium, or Dolicha, or Doliche, island in the Echinades","tagging=""Dulichium"" commenting=""Commanders: Meges, Phyleus"" coordinates=""21.15177, 38.32079""",https://pleiades.stoa.org/places/530845
urn:cite2:hmt:place.v1:place395,Pereia,a region in Thessaly,"tagging=""Phereians"" commenting=""Commander: Eumelos"" coordinates=""22.56873, 39.14917""",https://pleiades.stoa.org/places/541025
urn:cite2:hmt:place.v1:place125,Sestus,"Thracian city on the Hellespont, opposite Abydus","commenting=""Commander: Asios"" coordinates=""26.38916, 40.21343""",https://pleiades.stoa.org/places/501609
urn:cite2:exploreHomer:place.v1:place43,Ephyra,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today",,https://pleiades.stoa.org/places/573208
urn:cite2:exploreHomer:place.v1:place44,Schoinos,"An ancient place, cited: BAtlas 55 E4 Schoinos","tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.362092, 38.4274""",https://pleiades.stoa.org/places/541091
urn:cite2:hmt:place.v1:place178,Hyria,in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.564791, 38.456822""",https://pleiades.stoa.org/places/540830
urn:cite2:hmt:place.v1:place152,Cephissus,river in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""24.75, 38.75""",https://pleiades.stoa.org/places/540860
urn:cite2:exploreHomer:place.v1:place45,Lyrnessos,"An ancient place, cited: BAtlas 66 unlocated Lyrnessos",,https://pleiades.stoa.org/places/652355
urn:cite2:hmt:place.v1:place290,Glisas,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.396935, 38.391809""",https://pleiades.stoa.org/places/540791
urn:cite2:hmt:place.v1:place183,Copae,a town in Boeotia,"tagging=""Boeotians"" commenting=""Commanders: Arkesilaos, Prothoenor, Klonios"" coordinates=""23.160772, 38.493128""",https://pleiades.stoa.org/places/540878
urn:cite2:hmt:place.v1:place152,Cephissus,river in Phocis,"tagging=""Phocaeans"" commenting=""Commanders: Schedios, Epistrophos"" coordinates=""24.75, 38.75""",https://pleiades.stoa.org/places/540860
urn:cite2:exploreHomer:place.v1:place46,Gonoussa,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Mycenaeans"" commenting=""Commander: Agamemnon""",https://pleiades.stoa.org/places/573235
urn:cite2:hmt:place.v1:place27,Lacedaemonia,"also called Laconia, region around Sparta in the Peloponnese","tagging=""Laconians"" commenting=""Commander: Menelaos"" coordinates=""22.25, 37.25""",https://pleiades.stoa.org/places/570406
urn:cite2:hmt:place.v1:place350,Mantineia,a town in Arcadia,"tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.393259, 37.618138""",https://pleiades.stoa.org/places/570459
urn:cite2:exploreHomer:place.v1:place47,Buprasion,"An ancient settlement in Elis, attested by literary or documentary sources, whose precise location cannot be determined today.","commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos""",https://pleiades.stoa.org/places/573157
urn:cite2:exploreHomer:place.v1:place48,(M)Otene,"An ancient place, cited: BAtlas 88 F4 (M)Otene","tagging=""Elis"" commenting=""Commanders: Amphimakhos, Thalpios, Diores, Polyxenos"" coordinates=""44.315416, 40.262289""",https://pleiades.stoa.org/places/863848
urn:cite2:hmt:place.v1:place349,Tegea,a town in Arcadia,"tagging=""Arcadians"" commenting=""Commander: Agapenor"" coordinates=""22.429, 37.464""",https://pleiades.stoa.org/places/570707
urn:cite2:hmt:place.v1:place364,Rhytion,city on Crete,"tagging=""Cretans"" commenting=""Commander: Idomeneus"" coordinates=""25.169935, 35.010596""",https://pleiades.stoa.org/places/590033
urn:cite2:hmt:place.v1:place385,Thaumacia,"a town in Magnesia, under the rule of Philoctetes","tagging=""Methonians"" commenting=""Commander: Philoktetes"" coordinates=""23.339604, 39.173156""",https://pleiades.stoa.org/places/541135
urn:cite2:exploreHomer:place.v1:place49,Alos,"An ancient settlement, attested by literary or documentary sources, whose precise location cannot be determined today","tagging=""Myrmidons"" commenting=""Commander: Achilles""",https://pleiades.stoa.org/places/573077
urn:cite2:hmt:place.v1:place381,Boebeïs,lake in Thessaly,"tagging=""Pheraians"" commenting=""Commander: Admetos"" coordinates=""22.75, 39.75""",https://pleiades.stoa.org/places/540690
urn:cite2:exploreHomer:place.v1:place50,Mysia,"An ancient place, cited: BAtlas 52 B4 Mysia","tagging=""Mysians"" commenting=""Commanders: Chromis, Ennomos"" coordinates=""27.75, 40.25""",https://pleiades.stoa.org/places/511328
