Δρύαντά,Δρύας,n-s---ma-,دروآس,Ref=1.263
δυνήσεαι,δύναμαι,v2sfim---,توانستن,Ref=1.241
δύω,δύο,m--------,دو,Ref=1.16|SpaceAfter=No
δωδεκάτῃ,δωδέκατος,a-s---fd-,دوازدهم,Ref=1.425
δώματ',δῶμα,n-p---na-,سرا,Ref=1.18
δῶρα,δῶρον,n-p---na-,هدیه‌,Ref=1.390
οἱ,ἕ,p-s---md-,او,Ref=1.72
ἢν,ἐάν,c--------,حتی، اگر,Ref=1.90
ἔα,ἐάω,v2spma---,واگذاردن، رها کردن,Ref=1.276
ἐγγυαλίξαι,ἐγγυαλίζω,v--ana---,در دست نهادن,Ref=1.353
ἐμοὶ,ἐγώ,p-s---md-,من,Ref=1.20
ἐδητύος,ἐδητύς,n-s---fg-,غذا، خوردنی,Ref=1.469
ἑδέων,ἕδος,n-p---ng-,جایگاه، مسند,Ref=1.534
ἕζετ',ἕζομαι,v3spie---,نشستن,Ref=1.48
ἔθελον,ἐθέλω,v1siia---,خواستن,Ref=1.112
εἴ,εἰ,c--------,اگر,Ref=1.39
εἴδεται,εἴδομαι,v3spie---,به نظر رسیدن، نمودن,Ref=1.228
ἰδὼν,εἶδον,v-sapamn-,دیدن، نگریستن,Ref=1.148
αἴθ',εἴθε,i--------,کاش,Ref=1.415
ἐείκοσιν,εἴκοσι,m--------,بیست,Ref=1.309|SpaceAfter=No
ἔλσαι,εἴλω,v--ana---,در هم کوفتن,Ref=1.409
ἐστιν,εἰμί,v3spia---,بودن,Ref=1.63|SpaceAfter=No
εἶμι,εἶμι,v1spia---,رفتن,Ref=1.426
εἴποι,εἶπον,v3saoa---,گفتن,Ref=1.64
ἐς,εἰς,r--------,به، سوی، در,Ref=1.100
εἷς,εἷς,a-s---mn-,یک,Ref=1.144
ἐΐσας,ἔισος,a-p---fa-,هم‌سنگ,Ref=1.306
εἴσω,εἴσω,r--------, سوی  ,Ref=1.71
εἴτ',εἴτε,d--------,آیا,Ref=1.65
ἐξ,ἐκ,r--------,از، به، بیرون,Ref=1.6
ἑκάεργος,ἑκάεργος,a-s---mn-,دورتیرانداز,Ref=1.479
ἑκατηβελέταο,ἑκατηβελέτης,n-s---mg-, دورتیرانداز,Ref=1.75
ἑκατηβόλου,ἑκατηβόλος,a-s---mg-,دورتیرانداز,Ref=1.370
ἑκατόγχειρον,ἑκατόγχειρος,a-s---ma-,صدبازو ,Ref=1.402
ἑκατόμβης,ἑκατόμβη,n-s---fg-,قربانی,Ref=1.65|SpaceAfter=No
ἑκάτοιο,ἕκατος,n-s---mg-,دورتیرانداز,Ref=1.385|SpaceAfter=No
ἑκηβόλου,ἑκηβόλος,a-s---mg-,دورتیر‌انداز، هدف‌زن,Ref=1.14
ἐκπαγλότατ',ἔκπαγλος,a-s---mvs,سهمگین‌، سرسخت,Ref=1.146
ἐκπέρσαι,ἐκπέρθω,v--ana---,غارت کردن,Ref=1.19
ἐξέταμον,ἐκτέμνω,v3paia---,جدا کردن,Ref=1.460
Ἕκτορος,Ἕκτωρ,n-s---mg-,هکتور,Ref=1.242
ἤλασαν,ἐλαύνω,v3paia---,گریزاندن، افکندن,Ref=1.154
ἐλάφοιο,ἔλαφος,n-s---mg-,آهو,Ref=1.225|SpaceAfter=No
ἐέλδωρ,ἔλδωρ,n-s---na-,آرزو,Ref=1.504|SpaceAfter=No
ἐλέλιξεν,ἐλελίζω,v3saia---,به لرزه انداختن,Ref=1.530
ἑλικώπιδα,ἑλικῶπις,a-s---fa-,تیزچشم,Ref=1.98
ἑλίκωπες,ἑλίκωψ,a-p---mn-,تیزچشم,Ref=1.389
ἑλισσομένη,ἑλίσσω,v-sppefn-,چرخان,Ref=1.317
ἕλκετο,ἕλκω,v3siie---,کشیدن,Ref=1.194
ἑλώρια,ἑλώριον,n-p---na-,خرده‌طعمه‌,Ref=1.4
ἐμὸν,ἐμός,a-s---na-,من,Ref=1.31
ἔμπης,ἔμπας,d--------,این گونه,Ref=1.562
ἐμπεφυυῖα,ἐμφύω,v-srpafn-,چنگ زدن,Ref=1.513|SpaceAfter=No
ἐν,ἐν,r--------,در، میان,Ref=1.14
ἐναντίον,ἐναντίον,r--------,در برابر,Ref=1.534|SpaceAfter=No
ἐναρίζοι,ἐναρίζω,v3spoa---,کشتن، خون ریختن,Ref=1.191|SpaceAfter=No
ἐνδέξια,ἐνδέξιος,a-p---na-,(از چپ) به راست,Ref=1.597
ἔνδοθι,ἔνδοθι,d--------,از میان,Ref=1.243
ἐνῆεν,ἔνειμι,v3siia---,ماندن,Ref=1.593|SpaceAfter=No
ἕνεκ',ἕνεκα,r--------,به خاطر,Ref=1.94
ἔνθ',ἔνθα,d--------,در آنجا، آن هنگام,Ref=1.22
