named_entity_urn,ref,token_position
urn:cite2:hmt:place.v1:place213,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,79
urn:cite2:exploreHomer:place.v1:place63,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,251
urn:cite2:exploreHomer:place.v1:place64,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,264
urn:cite2:hmt:place.v1:place158,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,142
urn:cite2:hmt:place.v1:place158,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,1
urn:cite2:exploreHomer:place.v1:place65,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,332
urn:cite2:hmt:place.v1:place101,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,23
urn:cite2:hmt:place.v1:place171,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.680,314
urn:cite2:hmt:place.v1:place150,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,62
urn:cite2:hmt:place.v1:place150,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,129
urn:cite2:hmt:place.v1:place257,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.640,174
urn:cite2:hmt:place.v1:place257,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.800,387
urn:cite2:hmt:place.v1:place344,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.560,268
urn:cite2:hmt:place.v1:place318,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.520,111
urn:cite2:exploreHomer:place.v1:place66,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,72
urn:cite2:hmt:place.v1:place75,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,328
urn:cite2:exploreHomer:place.v1:place67,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.840,236
urn:cite2:hmt:place.v1:place173,urn:cts:greekLit:tlg0012.tlg001.perseus-eng4:2.480,345
