ve_ref,value,word_value,lemma,part_of_speech,gloss (eng),parse,tag
13.t39,ὀνομάζουσι,ὀνομάζουσι,ὀνομάζω,VERB,to name,PRES ACT 3PL IND,v3ppia---
13.t40,τοὺς,τοὺς,ὁ,ART,the,ACC.PL M,l-p---ma-
13.t41,προσημαίνοντας,προσημαίνοντας,προσημαίνω,VERB,"to presignify, foretell, announce",PRES ACT ACC.PL M PTCP,v-pppama-
13.t42,"εἶναι,",εἶναι,εἰμί,VERB,to be,PRES ACT INF,v--pna---
13.t43,ἐγὼ,ἐγὼ,ἐγώ,PRONOUN,I (first person pronoun),NOM.SG c,p-s---cn-
13.t44,δὲ,δὲ,δέ,,but,INDECL,b--------
13.t45,τοῦτο,τοῦτο,οὗτος,ADJ,this; that,ACC.SG N,a-s---na-
13.t46,δαιμόνιον,δαιμόνιον,δαιμόνιον,NOUN,"divine being, spirit",ACC.SG N,n-s---na-
13.t47,καλῶ,καλῶ,καλέω,VERB,"to call, summon",PRES ACT 1SG IND,v1spia---
13.t48,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t49,οἶμαι,οἶμαι,οἴομαι,VERB,"to suppose, think, deem, imagine",PRES MID 1SG IND,v1spie---
13.t50,οὕτως,οὕτως,οὕτως,ADV,"so, in this manner",INDECL,d--------
13.t51,ὀνομάζων,ὀνομάζων,ὀνομάζω,VERB,to name,PRES ACT NOM.SG M PTCP,v-sppamn-
13.t52,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t53,ἀληθέστερα,ἀληθέστερα,ἀληθής,ADJ,"unconcealed, true",ACC.PL N COMP,a-p---nac
13.t54,καὶ,καὶ,καί,,"and, also",INDECL,b--------
13.t55,ὁσιώτερα,ὁσιώτερα,ὅσιος,ADJ,"hallowed, sanctioned by the law of God",ACC.PL N COMP,a-p---nac
13.t56,λέγειν,λέγειν,λέγω,VERB,"to say, tell, speak; epic and arch.: pick, gather",PRES ACT INF,v--pna---
13.t57,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
13.t58,τοῖς,τοῖς,ὁ,ART,the,DAT.PL M,l-p---md-
13.t59,ὄρνισιν,ὄρνισιν,ὄρνις,NOUN,a bird,DAT.PL M,n-p---md-
13.t60,ἀνατιθέντων,ἀνατιθέντων,ἀνατίθημι,VERB,"dedicate, refer",PRES ACT GEN.PL M PTCP,v-pppamg-
13.t61,τὴν,τὴν,ὁ,ART,the,ACC.SG F,l-s---fa-
13.t62,τῶν,τῶν,ὁ,ART,the,GEN.PL M,l-p---mg-
13.t63,θεῶν,θεῶν,θεός,NOUN,god,GEN.PL M,n-p---mg-
13.t64,δύναμιν.,δύναμιν,δύναμις,NOUN,"power, might, strength",ACC.SG F,n-s---fa-
13.t65,ὥς,ὥς,ὡς,CONJ,"as, how",INDECL,c--------
13.t66,γε,γε,γε,ADV,"at least, at any rate",INDECL,d--------
